repository,topic,review_status
h565656445/dsh-agent-os-worker-protocol,deepseek-harness,verified_skill
h565656445/dsh-architecture-guide,deepseek-harness,verified_skill
h565656445/dsh-async-job,deepseek-harness,verified_skill
h565656445/dsh-file-identity,deepseek-harness,verified_skill
h565656445/dsh-governance-kernel,deepseek-harness,verified_skill
h565656445/dsh-graph-entry,deepseek-harness,verified_skill
h565656445/dsh-harness-core,deepseek-harness,verified_skill
h565656445/dsh-harness-specs,deepseek-harness,verified_skill
h565656445/dsh-integration,deepseek-harness,watchlist
h565656445/dsh-json-projection,deepseek-harness,verified_skill
h565656445/dsh-json-schema-driven-dev,deepseek-harness,verified_skill
h565656445/dsh-llm-agent-harness-guide,deepseek-harness,verified_skill
h565656445/dsh-manual-approval,deepseek-harness,verified_skill
h565656445/dsh-motion-grammar,deepseek-harness,verified_skill
h565656445/dsh-novel-specs,deepseek-harness,verified_skill
h565656445/dsh-observation-writer,deepseek-harness,verified_skill
h565656445/dsh-powershell-patterns,deepseek-harness,verified_skill
h565656445/dsh-presets-pack,deepseek-harness,watchlist
h565656445/dsh-provider-control,deepseek-harness,verified_skill
h565656445/dsh-schema-negotiator,deepseek-harness,verified_skill
h565656445/dsh-short-story-engine,deepseek-harness,verified_skill
h565656445/dsh-skills-pack,deepseek-harness,watchlist
h565656445/dsh-sports-pipeline,deepseek-harness,watchlist
h565656445/dsh-starter-kit,deepseek-harness,watchlist
h565656445/dsh-tutorial-video-state-machine,deepseek-harness,verified_skill
h565656445/dsh-upgrade-governance,deepseek-harness,verified_skill
HackSing/dsh-plugins,dsh-plugin,rejected
hahaha-taotao/dsh-oauth-api,dsh-plugin,verified_plugin
hamsammike/dsh-mod-manager,deepseek-harness,verified_plugin
han-1413141/dsh-cost-meter,deepseek-harness|dsh-plugin,verified_plugin
Han-1413141/dsh-sticky-disclosure,dsh-plugin,verified_plugin
hanelalo/browser-bridge,dsh-plugin,rejected
HaoyueQin/deepseek-harness-desktop,dsh-plugin,related
happyren/dsh-agent-messaging,dsh-plugin,verified_plugin
harcochen/dsh-vsc-integration,dsh-plugin,watchlist
hashdiana/dsh-archived-sessions,deepseek-harness|dsh-plugin,verified_plugin
hashdiana/dsh-token-usage,dsh-plugin,verified_plugin
havingautism/dsh-deepresearch,dsh-plugin,verified_plugin
havingautism/dsh-notebooks,dsh-plugin,verified_plugin
havingautism/dsh-ultra-ui,dsh-plugin,verified_plugin
hawkongz/doubao-vision-dsh,deepseek-harness|dsh-plugin,verified_plugin
haytham818/dsh-notify,dsh-plugin,verified_plugin
hccccc01333/dsh-analytics,deepseek-harness|dsh-plugin,verified_plugin
hccccc01333/dsh-eval,deepseek-harness|dsh-plugin,verified_plugin
hccccc01333/dsh-excel-chat,deepseek-harness|dsh-plugin,verified_plugin
hccccc01333/dsh-report-html,deepseek-harness|dsh-plugin,verified_plugin
he2way/dsh-task-console,dsh-plugin,verified_plugin
heartmove/dsh-side-chat,deepseek-harness|dsh-plugin,verified_plugin
heigeai/deepseek-harness-skin,deepseek-harness|dsh-plugin,watchlist
hellodigua/dsh-emoji,dsh-plugin,verified_plugin
hellodigua/dsh-share,dsh-plugin,verified_plugin
hellosky983/dsh-qrcode,dsh-plugin,verified_plugin
hellosky983/dsh-skillradar,deepseek-harness|dsh-plugin,verified_plugin
hellosz/dsh-ntfy,dsh-plugin,verified_plugin
hellowind777/helloagents,dsh-plugin,rejected
henlii/dsh-plugins,deepseek-harness,verified_plugin
hetun1378-afk/deepseek-harness-launcher,deepseek-harness,rejected
heyflyingpig/long-draft-input,deepseek-harness|dsh-plugin,verified_plugin
hikariming/dshfind,dsh-plugin,rejected
hisaniwo/dsh-ergonomics,dsh-plugin,verified_plugin
hiyms/dsh-web-search-provider,dsh-plugin,verified_plugin
hnmrxz/dsh-plugin-deepseek-balance,dsh-plugin,verified_plugin
hnmrxz/dsh-plugin-sysmon,deepseek-harness|dsh-plugin,verified_plugin
hnmrxz/dsh-plugin-usage-dashboard,deepseek-harness|dsh-plugin,verified_plugin
hoco-scy/deepseek-harness-deep-dive,deepseek-harness,rejected
homophonicfate/rpg-maker-mac-skill,deepseek-harness|dsh-plugin,verified_skill
hongzhongl/dsh-hotswap,deepseek-harness|dsh-plugin,verified_plugin
houyongsheng/deepseek-harness-molt,deepseek-harness|dsh-plugin,rejected
howlma/dsh-desktop,dsh-plugin,rejected
hrhgit/deepseek-harness-plugin-manager,deepseek-harness|dsh-plugin,verified_plugin
hsiangnianian/dsh-auto-continue,deepseek-harness|dsh-plugin,verified_plugin
hu9956/dsh-codex-provider,deepseek-harness|dsh-plugin,verified_plugin
HuanLinOTO/dsh-plugin-aigc-canvas,dsh-plugin,verified_plugin
HuanLinOTO/dsh-plugin-anti-ads,dsh-plugin,verified_plugin
huanlinoto/dsh-plugin-auto-blame,dsh-plugin,verified_plugin
HuanLinOTO/dsh-plugin-better-sidebar-plugin-office,dsh-plugin,verified_plugin
HuanLinOTO/dsh-plugin-d399,dsh-plugin,verified_plugin
HuanLinOTO/dsh-plugin-interpreters,dsh-plugin,verified_plugin
HuanLinOTO/dsh-plugin-mineru,dsh-plugin,verified_plugin
HuanLinOTO/dsh-plugin-pet-rs,dsh-plugin,watchlist
HuanLinOTO/dsh-plugin-sleep,dsh-plugin,verified_plugin
huanlinoto/dsh-plugin-spur,dsh-plugin,verified_plugin
HuanLinOTO/dsh-plugin-ya-workspace-sidebar,dsh-plugin,verified_plugin
HuanLinOTO/dsh-plugin-yet-another-subagent,dsh-plugin,verified_plugin
huashenglian/dsh-her-eyes,dsh-plugin,verified_plugin
huawolf/news-agent,dsh-plugin,watchlist
hubert-hwk/dsh-for-humans,deepseek-harness,rejected
huey1in/trio,dsh-plugin,verified_plugin
huguangyu666/dsh-plugin-session-import,deepseek-harness|dsh-plugin,verified_plugin
huiliyi37/dsh-tianshu-build,dsh-plugin,rejected
huiliyi37/dsh-tianshu-tui,dsh-plugin,verified_plugin
huiliyi37/dsh-tianshu-tui-placeholder,dsh-plugin,related
humblebanana/dsh-record-replay,deepseek-harness|dsh-plugin,verified_plugin
humblebanana/open-record-replay,dsh-plugin,watchlist
hurry060215-tech/dsh-api-usage-bar,deepseek-harness|dsh-plugin,verified_plugin
hust-open-atom-club/oh-dsh,dsh-plugin,watchlist
hust-open-atom-club/oh-dsh-desktop,dsh-plugin,related
hxs996-beep/deepact,deepseek-harness,rejected
hyizhou/dsh-spark-input,dsh-plugin,verified_plugin
hyls9527/dsh-plugins,dsh-plugin,verified_plugin
hyperionjust/dsh-tool-underseal,deepseek-harness|dsh-plugin,verified_plugin
hyperionjust/primordial-soup-,dsh-plugin,verified_skill
hyqhyq3/dsh-mcp-manager,dsh-plugin,verified_plugin
iccuse/dsh-pain-point-check,dsh-plugin,verified_plugin
icetomoyo/dsh_workflow,dsh-plugin,verified_plugin
icodesign/orbis,dsh-plugin,verified_plugin
ilharp/dsh-tool-approval,dsh-plugin,verified_plugin
imetn/dsh-lark-bridge,dsh-plugin,verified_plugin
imsai-sh/zhuzhiliao,deepseek-harness|dsh-plugin,rejected
inklingyoshi584/dsh-tool-hashline,dsh-plugin,verified_plugin
inmny/dsh-git-bash,dsh-plugin,verified_plugin
iobee/dsh-desktop,deepseek-harness,rejected
isekai-mfu/dsh-mimo-vision-hint,deepseek-harness|dsh-plugin,verified_plugin
isolat-3k/dsh-kanban,dsh-plugin,verified_plugin
iuikj/dsh-desktop,dsh-plugin,rejected
jark006/RemoteOps,dsh-plugin,rejected
JasonJin2006/dsh-sound-effects-plugin,dsh-plugin,verified_plugin
jasonsun29/ds-balance-card,deepseek-harness|dsh-plugin,verified_plugin
jasper-zsh/dsh-plugin-file-manager,dsh-plugin,verified_plugin
jasper-zsh/dsh-plugin-llm-codex,dsh-plugin,verified_plugin
jasper-zsh/dsh-plugin-provider-quota,dsh-plugin,verified_plugin
jasper-zsh/dsh-plugin-skill-panel,dsh-plugin,verified_plugin
jayden-x-l/forkprobe,deepseek-harness|dsh-plugin,verified_plugin
jelee0145/dsh-mem,dsh-plugin,verified_plugin
jelly-000/dsh-balance-monitor,deepseek-harness|dsh-plugin,verified_plugin
jeremyguo/dsh-custom-workspace,deepseek-harness|dsh-plugin,verified_plugin
jesse-njx/dsh-chatnode-wechat,deepseek-harness|dsh-plugin,verified_plugin
jesse-njx/dsh-cowork,deepseek-harness|dsh-plugin,verified_plugin
jesse-njx/dsh-crosstalk,deepseek-harness|dsh-plugin,verified_plugin
jesse-njx/dsh-memory,deepseek-harness|dsh-plugin,verified_plugin
jesse-njx/dsh-plugin-manager,deepseek-harness|dsh-plugin,watchlist
jesse-njx/dsh-plugin-manager-registry,deepseek-harness|dsh-plugin,watchlist
jesse-njx/dsh-polyglot,deepseek-harness|dsh-plugin,verified_plugin
jesse-njx/dsh-routines,deepseek-harness|dsh-plugin,verified_plugin
jesse-njx/dsh-skillport,deepseek-harness|dsh-plugin,verified_plugin
jesse-njx/dsh-voice,deepseek-harness|dsh-plugin,verified_plugin
jiangnanquan/dsh-ux,deepseek-harness|dsh-plugin,verified_plugin
jiauzhang/deepseek-harness-from-scratch,deepseek-harness,rejected
jiesou/dsh-stream-rules,dsh-plugin,verified_plugin
jihongboo/dsh-apple-mode,deepseek-harness|dsh-plugin,verified_plugin
jilian-dsh/dsh-rules-manager,deepseek-harness|dsh-plugin,verified_plugin
jimmyjin2006/dsh-skill-manager,dsh-plugin,verified_plugin
jinghao-leon/deepseek-harness-guide,deepseek-harness,rejected
jinhuang712/dsh-survey,deepseek-harness|dsh-plugin,verified_plugin
jinsong-zhou/dsh-html-canvas,deepseek-harness|dsh-plugin,verified_plugin
jinsong-zhou/safe-find-dsh-plugins,deepseek-harness|dsh-plugin,verified_skill
jiruidai/dsh-meta-orchestrator,dsh-plugin,verified_plugin
jkrandom-sudo/dsh-plugin-audit,deepseek-harness|dsh-plugin,verified_plugin
jleon-account/dsh-client-usage,deepseek-harness|dsh-plugin,verified_plugin
jolly-j/dsh-deepseek-billing,deepseek-harness|dsh-plugin,verified_plugin
jorinyang/dsh-doctor,deepseek-harness|dsh-plugin,verified_plugin
joyfoxai/dsh-eco-router,dsh-plugin,verified_plugin
juhe291/dsh-token-panel,deepseek-harness|dsh-plugin,verified_plugin
jumpserver-east/jumpserver-dsh,dsh-plugin,verified_plugin
junhongchashui/dsh-plugin-web-access,deepseek-harness|dsh-plugin,verified_plugin
junhongchashui/dsh-vision-relay,deepseek-harness|dsh-plugin,verified_plugin
justgenius-s/dsh-desktop,dsh-plugin,rejected
justgenius-s/dsh-plugs,dsh-plugin,verified_plugin
justinhuangai/deepagent,dsh-plugin,rejected
jyh20030112/dsh-visual-plugin,dsh-plugin,verified_plugin
kalimustafa/deepseek-harness-desktop,deepseek-harness,rejected
kalynnka/vscode-deepseek-harness,dsh-plugin,rejected
kam74515-boop/dsh-everything-oauth,dsh-plugin,verified_plugin
kanallas/api-cost-meter,dsh-plugin,watchlist
kangjinghang/dsh-xueqiu,deepseek-harness|dsh-plugin,verified_plugin
karloflaw/dsh-goal-mode-enhance,dsh-plugin,verified_plugin
karloflaw/dsh-side-chat,dsh-plugin,rejected
karuboniru/dsh-approval-guardian,deepseek-harness|dsh-plugin,verified_plugin
karuisawa-mrs/dsh-plugins,deepseek-harness|dsh-plugin,verified_plugin
kazecreator/dsh-plugins,deepseek-harness|dsh-plugin,verified_plugin
keepermttl/dsh-archive-viewer,deepseek-harness|dsh-plugin,verified_plugin
keepermttl/dsh-download-monitor,deepseek-harness,verified_plugin
kejixiaoliang/awesome-dsh-plugins,deepseek-harness|dsh-plugin,rejected
kelai141/dsh-client-ui-responsive,dsh-plugin,verified_plugin
kelai141/dsh-host-web-compat,dsh-plugin,verified_plugin
kelai141/dsh-mobile-apk,dsh-plugin,rejected
kelai141/dsh-shell-termux,dsh-plugin,verified_plugin
kelearns/dsh-update-checker,deepseek-harness|dsh-plugin,verified_plugin
keleus/deepseek-pet,dsh-plugin,verified_plugin
kerwin2046/dsh-pin-recall,deepseek-harness|dsh-plugin,verified_plugin
kevenxz/dsh-desktop,deepseek-harness|dsh-plugin,related
kevoyuan/dsh-mac-vision,deepseek-harness|dsh-plugin,verified_plugin
kevph2026/deepseek-harness-desktop,deepseek-harness,rejected
khanzou/deepseek-harness-as-desktop,dsh-plugin,verified_plugin
khiqwq/dsh-credentials-system,deepseek-harness|dsh-plugin,verified_plugin
khiqwq/dsh-system-proxy,deepseek-harness|dsh-plugin,verified_plugin
kiim-wong/dsh-push,deepseek-harness|dsh-plugin,verified_plugin
kimirong/deepseek-harness-desktop,deepseek-harness,related
kingao294/dsh-skin,deepseek-harness|dsh-plugin,verified_plugin
kingsunb/dsh-model-plus,dsh-plugin,verified_plugin
kinyokun/dsh-session-import,deepseek-harness|dsh-plugin,verified_plugin
kirschblutex/engineer-software,deepseek-harness|dsh-plugin,verified_skill
kitdoesit/dsh-compaction-instant,dsh-plugin,verified_plugin
kkllxy/dsh-repo-explore,deepseek-harness,verified_plugin
KnCRJVirX/dsh-desktop,dsh-plugin,related
kngear/dsh-mobile,dsh-plugin,watchlist
knqiufan/powercontext-dsh,deepseek-harness|dsh-plugin,verified_plugin
Komeiji-Shiki/graycode-for-dsh,dsh-plugin,rejected
krislavten/ai-sdk-provider-dsh,dsh-plugin,watchlist
kuailexiaozixin/fasthtml-desktop,dsh-plugin,watchlist
kuailexiaozixin/tkinter-desktop,dsh-plugin,watchlist
kurekaruna/dsh-at,dsh-plugin,verified_plugin
kxsenlin/deepseek-harness-window,deepseek-harness,rejected
kyorakuyk/dsh-desktop,dsh-plugin,rejected
l541402398/dsh-file-uploads,deepseek-harness|dsh-plugin,verified_plugin
l541402398/dsh-top-leaderboard,dsh-plugin,verified_plugin
lakeofsky347/dsh-vision,dsh-plugin,verified_plugin
lanlandeli/dsh-usage-stats,deepseek-harness|dsh-plugin,verified_plugin
lanshuye123/dsh-terminal,dsh-plugin,verified_plugin
laoyuehanni/dsh-token-usage,dsh-plugin,verified_plugin
laplaceyoung/dsh-book-deepseek-harness,deepseek-harness,rejected
LaplaceYoung/dsh-qq2006,dsh-plugin,watchlist
LaplaceYoung/oh-my-dsh,dsh-plugin,watchlist
laynechai/superpowers-dsh,deepseek-harness|dsh-plugin,verified_plugin
lbryany/dsh-codebuddy,deepseek-harness|dsh-plugin,verified_plugin
leaveimagination/dsh-qwen-voice,deepseek-harness|dsh-plugin,verified_plugin
leawind/dsh-minecraft-dev,dsh-plugin,verified_skill
leeaoyin/dr-agent-skills,dsh-plugin,rejected
leechen298/code2skill,deepseek-harness|dsh-plugin,verified_plugin
lehhair/dsh-diff-viewer,dsh-plugin,verified_plugin
lehhair/dsh-home-ui,dsh-plugin,verified_plugin
lehhair/dsh-mobile,dsh-plugin,verified_plugin
lehhair/dsh-split-panes,dsh-plugin,verified_plugin
lehmaning/dsh-randomuuid-polyfill,dsh-plugin,verified_plugin
letter2025/dsh-approval-llm,dsh-plugin,verified_plugin
levi-qiao/dsh-plugin-longgraph,deepseek-harness|dsh-plugin,verified_plugin
lhh010/dsh-bash-encoding,dsh-plugin,verified_plugin
lhh010/dsh-input-history,dsh-plugin,verified_plugin
lhh010/dsh-minigames,dsh-plugin,verified_plugin
lhh010/dsh-paste-input,dsh-plugin,verified_plugin
lhh010/dsh-ui-progress,dsh-plugin,verified_plugin
lhh010/dsh-ui-whale,dsh-plugin,verified_plugin
lhmd/dsh-director-toolkit,deepseek-harness|dsh-plugin,verified_plugin
lhmd/dsh-promotion-toolkit,deepseek-harness|dsh-plugin,verified_plugin
lhy723/dsh-self-evolution,dsh-plugin,verified_plugin
li-zhixin/dsh-node-sdk-example,deepseek-harness,rejected
LiangYin233/dsh-model-config-sync,dsh-plugin,verified_plugin
liaoyl830/deepseek-harness-desktop,deepseek-harness,rejected
libinyam/dsh-vision-provider,deepseek-harness|dsh-plugin,verified_plugin
libukai/awesome-deepseek-harness,deepseek-harness|dsh-plugin,rejected
liceses/dsh-web-text-drop,dsh-plugin,verified_plugin
liguobao/dsh-desktop,dsh-plugin,rejected
lihuu/dsh-lazy-skill,deepseek-harness,watchlist
like-study1/oh-my-dsh,deepseek-harness|dsh-plugin,rejected
lin-cheng-lab/dsh-deepseek-balance,dsh-plugin,verified_plugin
lin-cheng-lab/dsh-plugin-doctor,dsh-plugin,verified_plugin
linenxi-ctrl/dsh-vision,deepseek-harness,verified_plugin
linference/dsh_agent_presets,deepseek-harness,watchlist
LingLambda/dsh-undo,dsh-plugin,verified_plugin
lingtima/dsh-think-chinese,deepseek-harness,verified_plugin
lingyesoul/dsh-rider,dsh-plugin,verified_plugin
linhay/harmony-next.skills,dsh-plugin,rejected
linhx1999/dsh-writing-pad,dsh-plugin,verified_plugin
Linmoqian/deepseek-harness-cli,dsh-plugin,related
linyp/dsh-plugin-langfuse,deepseek-harness|dsh-plugin,verified_plugin
lire1131/dsh-undo-plugin,deepseek-harness|dsh-plugin,verified_plugin
lispking/git-skills,dsh-plugin,rejected
lisycotana/dsh-code-lens,deepseek-harness|dsh-plugin,verified_plugin
lisycotana/dsh-workflow-worktree,deepseek-harness|dsh-plugin,verified_plugin
litestartup-com/litestartup-skills,dsh-plugin,rejected
Liu-ty/dsh-balance-display,dsh-plugin,verified_plugin
liustack/modlens,dsh-plugin,verified_plugin
liustack/modsearch,deepseek-harness|dsh-plugin,verified_plugin
liuup/dsh-latex-tools,dsh-plugin,verified_plugin
lixiaoyiao/deepseek-harness-action,deepseek-harness|dsh-plugin,rejected
liyupi/dsh-kun-like-pet,deepseek-harness|dsh-plugin,verified_plugin
LJH-snow/dsh-tool-github,dsh-plugin,verified_plugin
ljsysfurryace/agentframe-v3,dsh-plugin,watchlist
ljsysfurryace/dsh-aura-scheduler,dsh-plugin,watchlist
ljsysfurryace/dsh-compaction,dsh-plugin,watchlist
ljsysfurryace/dsh-memory-director,dsh-plugin,watchlist
lkrcharon/dsh-egress-guard,deepseek-harness|dsh-plugin,verified_plugin
lmcsh9527/dsh-search-free,deepseek-harness,verified_plugin
lnsiaxe/dsh-web-restart,dsh-plugin,verified_plugin
lodyai/acp-extension-dsh,dsh-plugin,verified_plugin
loftytao/dsh-ui-workbench,deepseek-harness|dsh-plugin,verified_plugin
lonelymoon87/dsh-code-intel,deepseek-harness|dsh-plugin,verified_plugin
lonelymoon87/dsh-gitflow,deepseek-harness|dsh-plugin,verified_plugin
lonelymoon87/dsh-guardian,deepseek-harness|dsh-plugin,verified_plugin
lonelymoon87/dsh-specflow,deepseek-harness|dsh-plugin,verified_plugin
lonelymoon87/dsh-vscode,deepseek-harness|dsh-plugin,watchlist
loner1024/deepseek-harness-sdk-rs,dsh-plugin,rejected
longyu065/dsh-desktop,dsh-plugin,related
longyu065/dsh-session-index,dsh-plugin,verified_plugin
longyu065/dsh-theme-ti,dsh-plugin,verified_plugin
loong-wql/build-hos-mcp,dsh-plugin,rejected
lordqyxz/dsh-ark-quota,deepseek-harness|dsh-plugin,verified_plugin
lordship12138-crypto/dsh-plugin-dedup,dsh-plugin,verified_plugin
LoserFox/distill,dsh-plugin,verified_plugin
LoserFox/dsh-git-identity,dsh-plugin,verified_plugin
LoserFox/telegram,dsh-plugin,verified_plugin
lotus-c/dsh-desktop,deepseek-harness,rejected
loudmore/dsh-drop-to-path,deepseek-harness|dsh-plugin,verified_plugin
louisyang841/dsh-mini,deepseek-harness,rejected
luaphes/dsh-plugins-market,deepseek-harness|dsh-plugin,verified_plugin
luaphes/dsh-web-attention-badge,deepseek-harness|dsh-plugin,verified_plugin
lucasn0820/dsh-skin-claude-code,deepseek-harness,verified_plugin
lujoai/Lujo-MCP,dsh-plugin,rejected
luke-yong/dsh-plugin-knowledge-graph,dsh-plugin,verified_plugin
lukethecat/mdpresenter,deepseek-harness,rejected
Lum1104/dsh-browser,dsh-plugin,verified_plugin
lunw/shopline-ai-toolkit-dsh,dsh-plugin,verified_plugin
luo-ross/dsh-desktop,deepseek-harness,related
luoyu-xingu/dsh-background,dsh-plugin,verified_plugin
luzhouheng/dsh-gen3d,deepseek-harness|dsh-plugin,verified_plugin
lvienoeria/dsh-desktop-launcher,deepseek-harness|dsh-plugin,verified_plugin
lvienoeria/dsh-launcher,deepseek-harness|dsh-plugin,verified_plugin
lvyuchuiyi/dsh-funpack,deepseek-harness|dsh-plugin,verified_plugin
lwmxiaobei/dsh-plugins,deepseek-harness|dsh-plugin,rejected
lx2000wasd/dsh-web-plugin-manager,dsh-plugin,verified_plugin
lxj808624/dsh-tool-git,deepseek-harness|dsh-plugin,verified_plugin
lyh9712/dsh-bg-image,deepseek-harness,verified_plugin
lyn-77/promentor,dsh-plugin,verified_skill
lynkas/dsh-think-flow-flow,deepseek-harness|dsh-plugin,verified_plugin
lynx-gt/dsh-subagent-cwd,deepseek-harness|dsh-plugin,verified_plugin
lynx-gt/dsh-subagent-tools,deepseek-harness|dsh-plugin,verified_plugin
lzszq/dsh-scholar,dsh-plugin,verified_plugin
lzylyd/dsh-dracula,deepseek-harness|dsh-plugin,verified_plugin
maimorylab/dib,deepseek-harness|dsh-plugin,rejected
makuralymi/dsh-webui-glass-theme,dsh-plugin,verified_plugin
malevrigns/dsh-session-stars,deepseek-harness|dsh-plugin,verified_plugin
mapan0424/deepseek-harness-desktop,deepseek-harness,rejected
Mappedinfo/PlainDeck,dsh-plugin,rejected
maque2333/dsh-ui-topbar-compact,dsh-plugin,verified_plugin
mario03690/dsh-netcafe,deepseek-harness|dsh-plugin,verified_plugin
mark-smallcharlie/dsh-screen-roach,dsh-plugin,watchlist
mashedpotato817/dsh-ecosystem,deepseek-harness,rejected
mashedpotato817/dsh-git-plugin,deepseek-harness|dsh-plugin,verified_plugin
mashedpotato817/dsh-tool-browser,deepseek-harness|dsh-plugin,verified_plugin
mashedpotato817/dsh-tui,deepseek-harness|dsh-plugin,rejected
maskshell/solidforge-dsh,deepseek-harness,verified_plugin
max179/deepseek-harness-native,deepseek-harness,rejected
maxeaglet/dsh-bash-terminal,dsh-plugin,verified_plugin
maxeaglet/dsh-plugin-manager,dsh-plugin,rejected
maydaytyh/dshx-terminal,deepseek-harness,verified_plugin
mbj733/dsh-hermes-memory,dsh-plugin,watchlist
mc5lan/dsh-multimodal,deepseek-harness|dsh-plugin,verified_plugin
meme-dog/dsh-plugin-finder,deepseek-harness|dsh-plugin,verified_plugin
mengshiming2110/dsh-desktop-codex,deepseek-harness,rejected
meredith2328/dsh-hotkey,deepseek-harness,rejected
meredith2328/dsh-sidebar-mode,deepseek-harness|dsh-plugin,verified_plugin
meredith2328/dsh-sticky-note,dsh-plugin,verified_plugin
miaobuao/dsh-document-parser,dsh-plugin,verified_plugin
microherox/dsh-exa-mcp,deepseek-harness|dsh-plugin,verified_plugin
microherox/dsh-kimi-webbridge,deepseek-harness|dsh-plugin,verified_plugin
miku196/dsh-tokensave,deepseek-harness|dsh-plugin,verified_plugin
minatoai/jina-web-search-dsh-plugin,dsh-plugin,verified_plugin
mingxi2077/dsh-plugin-review,dsh-plugin,verified_plugin
mintcolour/dsh-sidechat,deepseek-harness|dsh-plugin,verified_plugin
mirdie/dsh-xai,dsh-plugin,verified_plugin
misaki14987/dsh-theme-taffy,deepseek-harness|dsh-plugin,verified_plugin
misakimiku2/dsh-cost-display,deepseek-harness|dsh-plugin,verified_plugin
missher12/deepseek-harness-desktop,deepseek-harness,rejected
mitao-su/dsh-playwright-cli,deepseek-harness|dsh-plugin,verified_plugin
mitao-su/dsh-playwright-native,dsh-plugin,verified_plugin
mixin-ai/dsh-file-changes,deepseek-harness|dsh-plugin,verified_plugin
mixin-ai/dsh-git-branch-switcher,deepseek-harness|dsh-plugin,verified_plugin
mnemon-dev/mnemon,dsh-plugin,watchlist
moduqishi/dsh-open-in-finder,dsh-plugin,verified_plugin
moduqishi/dsh-opencode-usage,dsh-plugin,verified_plugin
moduqishi/grassvison,dsh-plugin,related
modusensus/dsh-mneme,deepseek-harness|dsh-plugin,verified_plugin
moeblack/deepseek-manners,dsh-plugin,verified_plugin
Moeblack/dsh-message-edit,dsh-plugin,verified_plugin
Moeblack/dsh-payload-capture,dsh-plugin,verified_plugin
Moeblack/dsh-prompt-studio,dsh-plugin,verified_plugin
Moeblack/dsh-skins,dsh-plugin,verified_plugin
molaaaaaaaa/dsh-seismicx,deepseek-harness|dsh-plugin,verified_plugin
moneshadow/deepseek-harness-linux-,deepseek-harness|dsh-plugin,watchlist
Mongfayi/dsh-local-filetree,dsh-plugin,verified_plugin
mongfayi/dsh-recall,dsh-plugin,verified_plugin
monkeyui-dev/vibe-to-ui,deepseek-harness,rejected
moonshadow1976/chiral-pulse,deepseek-harness|dsh-plugin,verified_plugin
morechanger/dsh-agent-presets,deepseek-harness,verified_skill
morgogh/widget-dock,dsh-plugin,verified_plugin
morlay/session-persistence-rdb,dsh-plugin,verified_plugin
morluto/flameox,dsh-plugin,related
morluto/gitcontribute,dsh-plugin,rejected
morluto/internalcot,dsh-plugin,related
morluto/jacobian,dsh-plugin,rejected
morluto/leantoken,dsh-plugin,rejected
morluto/rea,dsh-plugin,related
morluto/smokinggun,dsh-plugin,rejected
mostlyharmlessxyz/dsh-safe-web-fetch,deepseek-harness|dsh-plugin,verified_plugin
mouliangyu/dsh-plugins,dsh-plugin,verified_plugin
moximxxx/dsh-find-skill,dsh-plugin,verified_plugin
moxingovo/dsh-web-panel,deepseek-harness|dsh-plugin,rejected
moxisuki/dsh-lan,dsh-plugin,verified_plugin
mrbbbaixue/dsh-desktop,dsh-plugin,related
mtaech/whale-nest,deepseek-harness,rejected
MuziIsabel/dsh-win-notify,dsh-plugin,verified_plugin
mysadc/dsh-plugin-description,deepseek-harness|dsh-plugin,verified_plugin
n0zom1z0/th08,dsh-plugin,rejected
n0zom1z0/vocaloid-mcp,dsh-plugin,rejected
Nagi-ovo/dsh-ads,dsh-plugin,verified_plugin
Nagi-ovo/dsh-find-plugins,dsh-plugin,verified_skill
Nagi-ovo/dsh-visualize,dsh-plugin,verified_plugin
NanmiCoder/dsh-agent-teams,dsh-plugin,verified_plugin
nazidada/dsh-plugin-koishi,deepseek-harness,verified_plugin
nazidada/koishi-plugin-adapter-harness,deepseek-harness,watchlist
nekogpt/dsh-ui-quote-selection,deepseek-harness|dsh-plugin,verified_plugin
nextindie/deepseek-harness-for-vs-code,deepseek-harness|dsh-plugin,verified_plugin
nexu-io/open-design,deepseek-harness|dsh-plugin,related
nexus-aethra/dsh-plugin-switch,dsh-plugin,verified_plugin
nexusagentx/dsh-lens,deepseek-harness|dsh-plugin,verified_plugin
nexusagentx/dsh-mcp-adapter,deepseek-harness|dsh-plugin,verified_plugin
nexusagentx/dsh-web-access,dsh-plugin,verified_plugin
nigelyao/dsh-view-modes,deepseek-harness|dsh-plugin,verified_plugin
nightwhale-dev/nightwhale,deepseek-harness|dsh-plugin,rejected
ningbainb/deepseek-harness-desktop,deepseek-harness,verified_plugin
ninjasln-labs/dsh-plugins,dsh-plugin,watchlist
nitrazepam01/dsh-web-search-tavily,deepseek-harness|dsh-plugin,verified_plugin
niyongsheng/free-vision-skill,deepseek-harness|dsh-plugin,verified_plugin
niyueee/dsh-container,deepseek-harness,rejected
nonewind/dsh-director,deepseek-harness,verified_plugin
nonewind/dsh-spend,deepseek-harness|dsh-plugin,verified_plugin
nowint/oh-my-dsh,deepseek-harness|dsh-plugin,rejected
nowledge-co/nowledge-mem-deepseek-harness,deepseek-harness|dsh-plugin,verified_plugin
nunchakus888/dsh-turn-budget,deepseek-harness|dsh-plugin,verified_plugin
nutshellai-tech/mobius,dsh-plugin,rejected
Nwflower/dsh-chat-import,dsh-plugin,verified_plugin
nwflower/dsh-file-claim,deepseek-harness|dsh-plugin,verified_plugin
oa1mgo/dshplugin,deepseek-harness,related
